Swap,Model,Full-MSE,Full-RMSE,Full-L1
None,twilight-bush-24,108.86070506779771,10.433633358892658,4.079560208770694
FR and FL,twilight-bush-24,108.86070506779771,10.433633358892658,4.079560208770694
FR and RR,twilight-bush-24,108.86070506779771,10.433633358892658,4.079560208770694
FR and RL,twilight-bush-24,108.86070506779771,10.433633358892658,4.079560208770694
